time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
38,2000-08-18 10:40,2432,1841,591,1230,0,611,11,760,3.2,21,17,4.893536,11,4.581749,202,624,41.757427,1,7,1973,4,1.2326406,533,325,99,227,403,229,380,29,1280,525,812,36,223,187,197,265,468,245,280,183,629,15,0.83018094,1012,255,227,171,43,34,22,25,9
39,2000-08-18 10:41,2556,1850,706,1188,0,662,11,901,2.836848,21,11,4.8135133,10,4.4156756,200,629,40.845,1,19,2089,5,1.223552,484,531,213,198,348,170,354,41,1333,473,777,76,60,146,304,167,556,357,116,137,640,9,0.6150235,1064,323,196,142,27,28,9,11,2
40,2000-08-18 10:42,1788,1693,95,810,0,883,11,382,4.6806283,19,17,5.282339,10,5.0738335,152,1133,56.513157,1,22,1310,3,1.3648854,467,75,9,87,132,74,132,35,1201,466,648,214,4,231,58,10,553,268,198,360,288,15,0.37080538,1351,140,84,58,19,4,8,1,
41,2000-08-18 10:43,935,826,109,682,0,144,11,206,4.538835,19,14,5.2530265,12,4.9576273,161,345,25.434782,1,6,741,4,1.2618084,214,87,14,195,164,187,157,54,572,192,389,55,4,129,52,8,183,83,109,44,345,15,1.0695187,336,178,123,51,48,7,6,,
42,2000-08-18 10:44,1842,1135,707,813,0,322,11,313,5.884984,16,17,5.954185,13,5.5453744,169,621,37.242603,2,6,1171,4,1.5730145,146,491,54,408,129,384,140,33,966,144,757,24,115,266,384,206,209,53,91,154,603,15,0.78610206,453,166,312,114,32,23,5,4,
43,2000-08-18 10:45,1595,1047,548,701,0,346,11,338,4.718935,21,11,5.144222,10,4.9169054,161,529,31.975155,2,26,1248,5,1.2780448,312,514,58,195,203,194,191,25,718,306,539,61,23,75,385,26,179,204,102,118,421,9,0.6564263,520,183,191,76,22,29,2,,
44,2000-08-18 10:46,1393,1289,104,687,0,602,11,284,4.9049296,22,12,5.366175,10,5.2288594,134,864,50.298508,1,7,1173,4,1.1875533,379,92,13,102,213,96,149,11,905,379,493,180,6,207,58,6,412,279,100,197,296,9,0.73295045,921,65,113,111,21,24,14,12,2
45,2000-08-18 10:47,864,819,45,784,0,35,11,268,3.2238805,20,10,4.041514,9,3.8901098,146,278,21.821918,1,13,717,5,1.2050209,129,32,5,87,205,83,186,36,654,125,441,27,9,80,23,13,213,53,72,126,315,7,1.0104166,407,93,146,102,8,5,1,17,
46,2000-08-18 10:48,1780,1120,660,841,0,279,11,380,4.6842103,14,12,4.819643,12,4.5946426,155,650,33.2,1,1,1139,3,1.5627744,284,541,152,158,131,138,124,27,811,284,484,107,102,185,384,117,327,184,100,138,346,9,0.5724719,699,104,169,49,23,12,,35,3
47,2000-08-18 10:49,1860,1259,601,828,0,431,11,370,5.027027,18,16,4.787927,14,4.633042,147,629,39.68027,1,5,1490,4,1.2483221,304,392,111,184,193,179,128,40,917,304,582,112,146,209,268,207,335,234,70,191,391,10,0.5784946,770,107,181,114,22,11,5,2,4
48,2000-08-18 10:50,2045,1903,142,1223,0,680,11,396,5.164141,23,15,4.888597,14,4.777194,148,863,61.425674,0,0,1657,5,1.2341582,427,122,24,184,277,183,254,270,1206,361,731,141,19,356,87,20,475,172,189,280,451,11,0.6723716,986,224,144,131,36,16,4,6,8
49,2000-08-18 10:51,1453,1025,428,918,0,107,11,290,5.010345,19,15,4.782439,14,4.569756,128,274,36.59375,1,1,984,4,1.476626,156,309,88,320,174,309,175,105,837,117,546,5,22,99,212,46,291,14,103,60,486,12,0.9958706,368,201,200,88,29,8,28,10,17
50,2000-08-18 10:52,1978,807,1171,594,0,213,11,329,6.012158,18,16,5.0433707,15,4.8760843,153,430,25.718954,1,1,1428,4,1.385154,118,750,189,97,210,92,194,65,656,97,494,10,292,106,468,389,162,18,79,176,318,10,0.46258846,361,138,130,70,19,7,15,3,6
51,2000-08-18 10:53,1386,1211,175,561,0,650,11,344,4.02907,21,12,5.2221303,10,5.042114,143,895,42.6993,0,0,1000,5,1.386,302,134,95,97,76,84,69,39,900,293,473,151,6,219,33,11,427,204,89,256,217,7,0.3961039,959,73,88,39,10,8,9,7,
52,2000-08-18 10:54,4681,4531,150,2871,0,1660,11,1528,3.0634816,19,11,5.0977707,10,4.838005,271,1683,80.8893,1,32,3741,4,1.2512697,378,138,11,1802,214,1656,300,18,4136,374,3840,105,11,167,114,11,296,272,102,979,2861,8,1.222602,1559,856,1682,294,46,32,18,15,8
53,2000-08-18 10:55,2671,2270,401,1664,0,606,11,1434,1.862622,19,11,4.8022027,9,4.484141,291,1129,34.97938,1,19,2200,5,1.214091,148,293,64,335,283,338,222,64,2062,144,1632,68,78,73,222,104,430,60,84,688,944,8,0.89704233,1195,349,343,102,121,45,16,30,5
54,2000-08-18 10:56,1599,760,839,666,0,94,11,303,5.277228,23,13,5.8631577,11,4.9973683,169,292,22.473373,1,1,1349,4,1.1853224,98,270,122,236,132,167,141,61,608,86,497,24,344,71,129,562,111,37,49,98,399,9,0.8467792,258,80,121,111,42,21,18,30,9
55,2000-08-18 10:57,2092,1985,107,815,0,1170,11,470,4.4510636,21,13,5.38136,10,5.1803527,156,1290,65.916664,0,0,1455,4,1.4378006,396,101,2,273,188,218,132,15,1574,394,899,132,5,413,86,6,675,124,270,413,486,9,0.6118547,1389,221,149,150,18,17,14,5,1
